Truncation was not explicitly activated but `max_length` is provided a specific value, please use `truncation=True` to explicitly truncate examples to max length. Defaulting to 'longest_first' truncation strategy. If you encode pairs of sequences (GLUE-style) with the tokenizer you can select this strategy more precisely by providing a specific strategy to `truncation`.
/home/iarroyof/miniconda3/envs/pt/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2674: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
Epoch: 0 | Train Loss: 8.772869110107422
Epoch: 0 | Train Loss: 3.1964805126190186
Epoch: 0 | Train Loss: 3.040377378463745
Epoch: 0 | Train Loss: 2.722609758377075
Epoch: 0 | Train Loss: 2.568411111831665
Epoch: 0 | Train Loss: 2.520081043243408
Epoch: 0 | Train Loss: 2.376999616622925
Epoch: 0 | Train Loss: 2.5465261936187744
Epoch: 0 | Train Loss: 2.576942205429077
Epoch: 0 | Train Loss: 1.9710739850997925
Epoch: 0 | Train Loss: 2.4497649669647217
Epoch: 0 | Train Loss: 2.7155842781066895
Epoch: 0 | Train Loss: 2.1956889629364014
Epoch: 0 | Train Loss: 2.466954469680786
Epoch: 0 | Train Loss: 3.0380818843841553
Epoch: 0 | Train Loss: 1.9499931335449219
Epoch: 0 | Train Loss: 2.5075461864471436
Epoch: 0 | Train Loss: 2.175410032272339
Epoch: 0 | Train Loss: 2.7252602577209473
Epoch: 0 | Train Loss: 2.2006540298461914
Epoch: 0 | Train Loss: 2.8425703048706055
Epoch: 0 | Train Loss: 2.240701913833618
Epoch: 0 | Train Loss: 2.896965265274048
Epoch: 0 | Train Loss: 2.6867706775665283
Epoch: 0 | Train Loss: 1.8136825561523438
Epoch: 0 | Train Loss: 2.4874866008758545
Epoch: 0 | Train Loss: 2.8741562366485596
Epoch: 0 | Train Loss: 3.0822455883026123
Epoch: 0 | Train Loss: 2.129441499710083
Epoch: 0 | Train Loss: 1.9409890174865723
Epoch: 0 | Train Loss: 2.325380563735962
Epoch: 0 | Train Loss: 2.8774125576019287
Epoch: 0 | Train Loss: 2.499114751815796
